"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 15:48:42 PKT 2022","Thu Sep 15 15:48:44 PKT 2022","2235","","Rpc Logs.","","","","Click on RPC Logs link in header section.",""
"passed","Thu Sep 15 15:47:55 PKT 2022","Thu Sep 15 15:47:59 PKT 2022","3322","","All components testcases.","","","","Check whether user can select only 2 methods.",""
"passed","Thu Sep 15 15:47:59 PKT 2022","Thu Sep 15 15:48:00 PKT 2022","1219","","All components testcases.","","","","Select and Deselect and PRICE method.",""
"passed","Thu Sep 15 15:47:24 PKT 2022","Thu Sep 15 15:47:26 PKT 2022","2139","","All components testcases.","","","","Click Uniswap application for selection.",""
"passed","Thu Sep 15 15:48:04 PKT 2022","Thu Sep 15 15:48:08 PKT 2022","4221","","All components testcases.","","","","Check main flow of attributes by selecting atleast one asset and one method.",""
"passed","Thu Sep 15 15:47:16 PKT 2022","Thu Sep 15 15:47:24 PKT 2022","7440","","All components testcases.","","","","Click on Ethereum DEX category for selection.",""
"passed","Thu Sep 15 15:46:59 PKT 2022","Thu Sep 15 15:47:02 PKT 2022","3179","","All components testcases.","","","","Click on Ethereum Chain drawer.",""
"passed","Thu Sep 15 15:47:35 PKT 2022","Thu Sep 15 15:47:37 PKT 2022","2248","","All components testcases.","","","","Select and Deselect and WETH asset.",""
"passed","Thu Sep 15 15:47:42 PKT 2022","Thu Sep 15 15:47:44 PKT 2022","2249","","All components testcases.","","","","Select and Deselect and MATIC asset.",""
"passed","Thu Sep 15 15:48:01 PKT 2022","Thu Sep 15 15:48:02 PKT 2022","1234","","All components testcases.","","","","Select and Deselect and TOTAL SUPPLY method.",""
"passed","Thu Sep 15 15:48:02 PKT 2022","Thu Sep 15 15:48:04 PKT 2022","1232","","All components testcases.","","","","Select and Deselect and CIRCULATING SUPPLY method.",""
"passed","Thu Sep 15 15:47:51 PKT 2022","Thu Sep 15 15:47:53 PKT 2022","2255","","All components testcases.","","","","Select and Deselect and WBTC asset.",""
"passed","Thu Sep 15 15:45:40 PKT 2022","Thu Sep 15 15:45:50 PKT 2022","9635","","Analog WARP dApp Feedback form.","","","","Email with validation checks.",""
"passed","Thu Sep 15 15:49:02 PKT 2022","Thu Sep 15 15:49:04 PKT 2022","2195","","Analog WARP dApp Support page.","","","","Click on Support link from header.",""
"passed","Thu Sep 15 15:48:19 PKT 2022","Thu Sep 15 15:48:22 PKT 2022","3148","","All components testcases.","","","","Click on Diagram tab.",""
"passed","Thu Sep 15 15:48:00 PKT 2022","Thu Sep 15 15:48:01 PKT 2022","1206","","All components testcases.","","","","Select and Deselect and MARKET CAP method.",""
"passed","Thu Sep 15 15:48:49 PKT 2022","Thu Sep 15 15:48:49 PKT 2022","135","","Rpc Logs.","","","","Copy RPC Logs",""
"passed","Thu Sep 15 15:47:46 PKT 2022","Thu Sep 15 15:47:49 PKT 2022","2243","","All components testcases.","","","","Select and Deselect and MKR asset.",""
"passed","Thu Sep 15 15:48:13 PKT 2022","Thu Sep 15 15:48:16 PKT 2022","3126","","All components testcases.","","","","Click on Atomic Data tab.",""
"passed","Thu Sep 15 15:46:17 PKT 2022","Thu Sep 15 15:46:22 PKT 2022","4877","","Analog WARP dApp Feedback form.","","","","What is your feedback?",""
"passed","Thu Sep 15 15:46:27 PKT 2022","Thu Sep 15 15:46:36 PKT 2022","9136","","Analog WARP dApp Feedback form.","","","","Submit form.",""
"passed","Thu Sep 15 15:47:14 PKT 2022","Thu Sep 15 15:47:16 PKT 2022","2287","","All components testcases.","","","","Unselect after pre-select.",""
"passed","Thu Sep 15 15:49:06 PKT 2022","Thu Sep 15 15:49:06 PKT 2022","147","","Analog WARP dApp Support page.","","","","Click on Analog network link on quick guide page.",""
"passed","Thu Sep 15 15:47:44 PKT 2022","Thu Sep 15 15:47:46 PKT 2022","2276","","All components testcases.","","","","Select and Deselect and CRO asset.",""
"passed","Thu Sep 15 15:47:53 PKT 2022","Thu Sep 15 15:47:55 PKT 2022","2277","","All components testcases.","","","","Select and Deselect and LINK asset.",""
"passed","Thu Sep 15 15:48:08 PKT 2022","Thu Sep 15 15:48:09 PKT 2022","1558","","All components testcases.","","","","Enter after Attributes selection",""
"passed","Thu Sep 15 15:47:06 PKT 2022","Thu Sep 15 15:47:09 PKT 2022","2131","","All components testcases.","","","","Polygon Drawer deselector.",""
"passed","Thu Sep 15 15:48:09 PKT 2022","Thu Sep 15 15:48:13 PKT 2022","3191","","All components testcases.","","","","Click on Consumable Data tab.",""
"passed","Thu Sep 15 15:47:02 PKT 2022","Thu Sep 15 15:47:04 PKT 2022","2137","","All components testcases.","","","","Click on Polygon Chain drawer",""
"passed","Thu Sep 15 15:47:40 PKT 2022","Thu Sep 15 15:47:42 PKT 2022","2243","","All components testcases.","","","","Select and Deselect and DAI asset.",""
"passed","Thu Sep 15 15:47:09 PKT 2022","Thu Sep 15 15:47:12 PKT 2022","3121","","All components testcases.","","","","Open Ethereum Drawer again for category and application selection.",""
"passed","Thu Sep 15 15:49:08 PKT 2022","Thu Sep 15 15:49:11 PKT 2022","2146","","Analog WARP dApp Support page.","","","","Click on Here link.",""
"passed","Thu Sep 15 15:47:37 PKT 2022","Thu Sep 15 15:47:40 PKT 2022","2245","","All components testcases.","","","","Select and Deselect and UNI asset.",""
"passed","Thu Sep 15 15:46:22 PKT 2022","Thu Sep 15 15:46:27 PKT 2022","4578","","Analog WARP dApp Feedback form.","","","","Additional comments?",""
"passed","Thu Sep 15 15:49:06 PKT 2022","Thu Sep 15 15:49:08 PKT 2022","2166","","Analog WARP dApp Support page.","","","","Click on Unveil link.",""
"passed","Thu Sep 15 15:47:12 PKT 2022","Thu Sep 15 15:47:14 PKT 2022","2148","","All components testcases.","","","","Check pre-select category functionality.",""
"passed","Thu Sep 15 15:46:02 PKT 2022","Thu Sep 15 15:46:17 PKT 2022","15523","","Analog WARP dApp Feedback form.","","","","What are you giving feedback on?",""
"passed","Thu Sep 15 15:47:04 PKT 2022","Thu Sep 15 15:47:06 PKT 2022","2118","","All components testcases.","","","","Ethereum Drawer deselector.",""
"passed","Thu Sep 15 15:48:44 PKT 2022","Thu Sep 15 15:48:49 PKT 2022","4163","","Rpc Logs.","","","","Download RPC Logs",""
"passed","Thu Sep 15 15:45:34 PKT 2022","Thu Sep 15 15:45:37 PKT 2022","3215","","Analog WARP dApp Feedback form.","","","","Open feedback form.",""
"passed","Thu Sep 15 15:48:49 PKT 2022","Thu Sep 15 15:48:49 PKT 2022","120","","Rpc Logs.","","","","Click again on RPC Logs link to check COPY functionality.",""
"passed","Thu Sep 15 15:45:50 PKT 2022","Thu Sep 15 15:46:02 PKT 2022","12177","","Analog WARP dApp Feedback form.","","","","Who are you?",""
"passed","Thu Sep 15 15:49:04 PKT 2022","Thu Sep 15 15:49:06 PKT 2022","2256","","Analog WARP dApp Support page.","","","","Click on Quick guide option.",""
"passed","Thu Sep 15 15:48:16 PKT 2022","Thu Sep 15 15:48:19 PKT 2022","3160","","All components testcases.","","","","Click on Raw Request tab.",""
"passed","Thu Sep 15 15:47:26 PKT 2022","Thu Sep 15 15:47:26 PKT 2022","127","","All components testcases.","","","","Click on Enter button on Chain component after all selections.",""
"passed","Thu Sep 15 15:47:26 PKT 2022","Thu Sep 15 15:47:35 PKT 2022","9107","","All components testcases.","","","","Check whether user can select only 4 assets.",""
"passed","Thu Sep 15 15:45:37 PKT 2022","Thu Sep 15 15:45:40 PKT 2022","3213","","Analog WARP dApp Feedback form.","","","","Submit form with empty fields.",""
"passed","Thu Sep 15 15:47:49 PKT 2022","Thu Sep 15 15:47:51 PKT 2022","2246","","All components testcases.","","","","Select and Deselect and QNT asset.",""
